DealDate,Apartment,Mansion,Building,House
2016-05,50.86,71.79,74.10,82.30
2016-06,62.09,63.68,71.03,79.66
2016-07,57.57,65.22,75.13,85.20
2016-08,52.21,59.19,85.35,0
2016-09,52.59,47.56,76.64,0
2016-10,59.40,48.16,69.76,279.09
2016-11,53.77,60.51,73.05,87.16
2016-12,54.32,54.05,75.35,68.46
2017-01,53.52,60.85,77.25,71.49
2017-02,52.51,61.24,85.37,93.27
2017-03,52.97,61.16,80.84,204.62
2017-04,50.36,66.13,70.77,57.12
2017-05,59.51,62.79,70.71,69.12
2017-06,59.24,67.11,72.29,0
2017-07,57.61,65.69,76.47,0
2017-08,57.83,67.80,70.66,59.69
2017-09,56.90,55.92,75.59,83.71
2017-10,56.39,63.14,74.71,54.25
2017-11,57.66,77.12,75.51,121.35
2017-12,52.57,62.86,70.06,132.36
2018-01,53.11,57.86,73.38,83.05
2018-02,56.84,68.28,80.27,0
2018-03,55.45,62.96,74.48,103.96
2018-04,53.43,65.98,79.29,149.48
2018-05,57.37,60.67,74.41,82.33
2018-06,54.67,60.90,70.10,56.41
2018-07,54.01,69.36,74.85,161.67
2018-08,57.26,59.92,71.89,69.59
2018-09,52.02,61.67,81.45,64.02
2018-10,52.04,58.71,79.87,0
2018-11,52.01,68.61,72.90,80.42
2018-12,57.22,66.56,80.23,106.04
2019-01,51.09,63.59,66.86,89.46
2019-02,58.03,62.90,73.50,188.94
2019-03,53.84,64.62,75.22,110.39
2019-04,57.33,65.95,71.37,188.96
2019-05,55.48,65.01,81.98,65.30
2019-06,54.53,62.48,72.34,67.19
2019-07,56.32,61.84,73.96,0
2019-08,55.57,58.97,71.43,130.10
2019-09,55.60,61.13,91.97,80.68
2019-10,53.92,60.57,78.62,106.76
2019-11,56.22,61.26,74.95,75.92
2019-12,58.41,57.86,78.25,212.18
2020-01,52.94,70.08,75.39,156.60
2020-02,65.26,59.82,79.23,184.65
2020-03,63.15,62.45,74.96,183.47
2020-04,56.09,59.75,72.12,150.99
2020-05,58.00,65.46,75.25,106.12
2020-06,56.26,66.53,73.36,104.42
2020-07,61.09,65.55,73.46,111.74
2020-08,57.94,64.91,79.67,142.12
2020-09,62.82,64.90,75.11,123.47
2020-10,57.78,69.73,74.81,95.83
2020-11,60.53,66.94,76.87,118.86
2020-12,56.93,74.56,73.12,97.30
2021-01,62.55,64.17,76.38,54.73
2021-02,65.53,66.26,77.63,161.39
2021-03,64.42,66.91,72.28,197.53
2021-04,55.69,63.09,69.28,72.37
