DealDate,Apartment,Mansion,Building,House
10505,51.99,88.28,82.76,0
10506,64.89,73.56,81.72,97.15
10507,60.13,81.46,84.93,129.88
10508,56.10,67.18,75.11,69.98
10509,65.86,66.94,90.97,95.88
10510,71.12,66.30,77.62,154.18
10511,63.88,69.95,81.86,60.31
10512,51.78,83.41,85.84,85.91
10601,41.25,67.54,81.99,70.37
10602,52.82,73.43,73.17,111.06
10603,56.49,70.84,76.81,112.46
10604,46.63,68.00,81.39,103.95
10605,57.68,71.62,88.31,376.55
10606,48.00,73.86,85.52,0
10607,64.24,78.78,91.20,0
10608,57.39,64.75,85.06,90.41
10609,60.81,73.55,79.45,76.16
10610,61.96,65.24,72.30,169.55
10611,54.83,69.68,81.65,100.60
10612,56.77,61.45,79.98,229.20
10701,82.06,73.81,68.46,130.93
10702,65.47,65.32,85.98,679.44
10703,62.86,69.57,72.38,114.55
10704,114.41,89.00,73.95,85.34
10705,121.54,76.77,81.50,55.22
10706,95.69,83.87,81.02,364.89
10707,88.11,81.66,84.38,197.28
10708,54.72,81.37,96.82,0
10709,95.54,73.18,91.02,0
10710,58.20,64.94,89.92,0
10711,70.57,67.85,88.40,107.20
10712,72.63,78.74,82.35,33.08
10801,59.82,74.46,80.66,0
10802,77.04,76.25,97.64,102.01
10803,59.08,65.85,76.33,0
10804,61.90,75.23,81.68,137.42
10805,63.55,63.77,87.24,83.28
10806,59.62,62.33,75.52,105.09
10807,59.41,60.33,84.65,112.24
10808,54.93,73.33,75.44,218.72
10809,51.94,67.49,84.53,118.34
10810,59.81,71.02,88.75,89.59
10811,58.78,69.08,78.86,148.06
10812,60.39,71.86,82.33,251.74
10901,67.80,74.56,83.53,419.34
10902,62.67,69.54,76.70,79.19
10903,58.49,66.21,81.62,95.21
10904,58.79,54.61,78.17,424.80
10905,70.03,73.00,80.22,226.12
10906,68.46,65.60,82.70,60.13
10907,66.04,72.69,83.31,310.40
10908,68.89,76.17,78.89,244.98
10909,66.85,71.92,78.07,230.65
10910,62.50,76.32,81.85,157.70
10911,60.41,71.74,78.06,0
10912,63.25,72.05,84.01,0
11001,66.77,73.81,88.89,206.77
11002,64.03,71.86,79.48,64.25
11003,58.62,76.18,80.06,79.52
11004,76.65,71.36,79.94,0
