DealDate,Apartment,Mansion,Building,House
10505,53.77,63.85,78.17,105.62
10506,56.18,64.55,71.00,0
10507,54.53,68.53,75.47,139.50
10508,60.31,85.01,84.52,56.16
10509,52.86,68.40,85.68,0
10510,52.79,67.45,85.74,45.79
10511,54.18,60.08,77.52,43.46
10512,52.53,57.44,76.12,52.06
10601,58.63,51.67,70.31,211.09
10602,50.77,67.33,77.49,44.88
10603,59.92,60.00,84.09,0
10604,56.48,63.62,73.47,0
10605,54.89,61.57,82.96,0
10606,55.92,71.09,95.10,49.06
10607,59.31,66.42,85.43,0
10608,53.50,60.77,96.31,97.35
10609,58.58,71.02,61.07,73.34
10610,55.03,62.33,98.69,140.06
10611,54.43,72.02,83.40,75.22
10612,51.80,65.34,85.21,60.98
10701,54.99,66.85,81.67,94.86
10702,62.18,65.26,82.01,68.77
10703,57.11,72.61,76.08,125.63
10704,54.42,64.04,83.88,0
10705,58.84,74.02,106.25,46.24
10706,57.28,65.86,84.94,169.54
10707,58.82,62.55,84.48,97.63
10708,52.60,66.68,85.29,59.60
10709,56.19,64.06,77.12,99.46
10710,53.16,62.86,91.95,102.45
10711,51.42,74.87,84.80,54.38
10712,59.58,67.41,93.65,90.99
10801,58.75,60.76,82.28,118.47
10802,54.70,66.36,84.14,114.07
10803,56.69,64.04,83.37,99.01
10804,50.72,67.20,91.51,112.88
10805,55.52,69.77,109.48,50.73
10806,54.12,61.16,76.45,133.68
10807,59.03,62.04,96.12,124.09
10808,57.77,67.57,104.71,71.69
10809,50.47,71.06,100.31,54.39
10810,53.25,72.71,88.43,102.85
10811,50.83,61.91,100.41,100.50
10812,56.45,65.49,88.59,61.43
10901,55.85,72.58,88.70,0
10902,57.08,66.35,83.53,59.83
10903,59.85,69.45,82.80,63.64
10904,57.03,62.94,101.01,51.88
10905,60.59,65.38,89.42,106.14
10906,55.79,69.84,94.41,0
10907,59.54,71.24,89.07,171.28
10908,60.41,71.28,86.96,207.30
10909,56.28,62.44,94.62,104.76
10910,65.79,62.72,85.26,279.74
10911,63.91,68.82,86.56,90.44
10912,60.74,71.19,101.57,62.64
11001,61.88,75.02,86.65,76.40
11002,64.72,80.71,87.42,71.41
11003,64.94,81.19,95.85,79.19
11004,57.98,71.58,93.01,0
