DealDate,Apartment,Mansion,Building,House
2016-05,41.99,55.13,58.22,62.62
2016-06,46.24,54.40,62.48,53.68
2016-07,44.06,54.13,66.02,54.32
2016-08,42.06,50.68,61.13,35.10
2016-09,43.11,54.15,58.57,0
2016-10,38.08,53.79,51.87,86.89
2016-11,41.99,57.44,58.36,126.52
2016-12,42.17,51.90,58.20,93.92
2017-01,39.28,50.38,57.95,0
2017-02,40.41,55.97,59.42,67.80
2017-03,41.12,53.33,60.47,139.15
2017-04,43.84,57.61,57.85,60.27
2017-05,42.80,59.30,58.85,37.90
2017-06,40.78,57.27,61.70,0
2017-07,41.74,58.74,60.83,51.23
2017-08,41.24,53.87,62.86,67.53
2017-09,43.90,55.95,63.84,86.68
2017-10,40.11,50.71,60.21,45.14
2017-11,43.36,48.85,62.65,98.29
2017-12,42.23,54.57,64.07,133.73
2018-01,43.81,55.59,64.44,65.92
2018-02,43.10,54.44,67.58,0
2018-03,41.33,51.61,59.49,0
2018-04,40.88,56.83,58.03,102.82
2018-05,43.05,51.89,60.47,52.52
2018-06,43.16,52.94,61.44,57.41
2018-07,40.26,51.15,61.34,126.33
2018-08,43.43,56.25,62.28,64.65
2018-09,41.80,50.88,57.13,50.97
2018-10,42.89,55.21,57.95,51.84
2018-11,40.42,53.96,61.60,45.78
2018-12,44.97,55.43,69.78,0
2019-01,46.35,57.47,66.19,65.76
2019-02,45.90,56.54,63.31,73.32
2019-03,45.93,54.50,66.24,53.29
2019-04,44.81,55.95,65.50,91.37
2019-05,42.70,54.46,68.11,109.69
2019-06,42.73,56.84,61.46,44.66
2019-07,42.31,54.89,62.99,42.52
2019-08,42.45,54.06,65.56,53.59
2019-09,42.87,52.88,57.78,59.14
2019-10,43.28,54.37,66.80,67.62
2019-11,42.95,52.43,63.94,54.62
2019-12,42.15,55.68,61.84,46.56
2020-01,43.15,50.79,62.42,53.79
2020-02,43.83,58.17,61.43,42.89
2020-03,44.78,58.93,61.43,73.34
2020-04,44.28,56.24,63.16,72.28
2020-05,42.71,52.82,65.03,120.94
2020-06,43.14,56.43,64.66,70.11
2020-07,47.99,58.85,65.59,75.78
2020-08,45.07,61.25,65.90,74.92
2020-09,45.98,55.94,68.94,90.02
2020-10,48.23,59.08,69.47,48.60
2020-11,46.70,57.80,63.62,123.50
2020-12,47.70,58.57,69.06,83.47
2021-01,46.16,57.86,67.86,49.54
2021-02,47.38,58.75,70.31,35.40
2021-03,48.76,62.10,66.08,69.27
2021-04,45.75,69.89,69.80,81.07
