DealDate,Apartment,Mansion,Building,House
2016-05,39.28,57.44,53.59,69.04
2016-06,39.53,48.42,56.12,38.73
2016-07,41.94,53.13,49.79,95.21
2016-08,40.00,54.27,51.90,129.72
2016-09,41.41,57.04,52.57,51.96
2016-10,41.04,52.73,48.75,63.46
2016-11,37.60,49.01,51.77,93.98
2016-12,40.15,48.99,48.70,89.04
2017-01,39.42,50.25,51.09,90.36
2017-02,37.02,48.59,46.90,71.64
2017-03,39.82,54.29,51.35,74.96
2017-04,44.70,53.52,55.42,84.42
2017-05,40.09,49.30,50.82,78.58
2017-06,40.60,54.31,51.61,83.13
2017-07,35.90,53.41,46.76,225.24
2017-08,41.44,52.62,47.31,93.34
2017-09,38.54,52.95,49.88,47.83
2017-10,37.41,49.59,56.52,92.93
2017-11,41.14,26.37,20.57,102.58
2017-12,42.34,54.05,45.38,75.06
2018-01,40.19,54.87,54.37,66.76
2018-02,38.94,57.89,49.79,110.47
2018-03,40.91,50.82,41.73,55.42
2018-04,44.27,50.98,40.46,48.71
2018-05,38.23,51.00,47.82,68.52
2018-06,42.18,50.69,46.65,69.27
2018-07,37.26,46.22,55.17,57.30
2018-08,41.52,48.52,56.99,92.15
2018-09,39.33,48.90,50.77,54.19
2018-10,37.39,57.98,46.27,122.55
2018-11,41.61,49.64,45.31,36.85
2018-12,43.02,50.67,50.06,54.48
2019-01,37.63,46.90,48.97,65.49
2019-02,38.98,51.20,56.51,65.64
2019-03,38.20,53.90,53.01,70.38
2019-04,39.54,54.36,56.65,61.89
2019-05,38.13,51.60,49.08,70.80
2019-06,39.06,48.90,59.34,76.86
2019-07,35.91,57.05,51.53,55.69
2019-08,39.62,51.17,48.79,238.08
2019-09,36.69,46.06,52.09,82.88
2019-10,42.41,51.88,58.88,94.27
2019-11,42.25,51.74,53.94,55.38
2019-12,37.92,54.60,53.40,179.49
2020-01,42.44,45.97,48.38,227.31
2020-02,37.53,51.19,51.20,68.60
2020-03,39.56,49.17,50.67,65.03
2020-04,37.77,51.32,51.70,53.12
2020-05,42.44,52.41,50.25,96.36
2020-06,37.80,53.15,51.10,123.41
2020-07,39.06,49.27,52.22,166.52
2020-08,38.95,52.20,51.18,151.38
2020-09,41.74,50.38,59.35,57.98
2020-10,44.00,51.48,57.52,60.18
2020-11,41.92,50.82,52.95,69.83
2020-12,40.53,50.45,59.19,110.13
2021-01,43.18,52.15,50.22,82.17
2021-02,43.84,47.87,57.75,65.96
2021-03,38.83,52.70,54.53,59.85
2021-04,34.65,40.70,48.74,203.60
