DealDate,Apartment,Mansion,Building,House
2016-05,42.98,57.73,60.44,61.94
2016-06,44.36,50.02,58.07,62.76
2016-07,47.86,56.03,56.39,84.62
2016-08,49.60,61.39,52.91,171.56
2016-09,43.30,52.10,58.05,41.18
2016-10,41.49,51.36,63.67,33.39
2016-11,35.49,50.63,64.47,50.90
2016-12,42.67,57.22,61.11,49.16
2017-01,46.92,63.16,61.66,0
2017-02,40.17,52.03,63.45,83.23
2017-03,39.64,58.34,61.86,0
2017-04,46.36,52.97,61.06,92.15
2017-05,40.28,50.24,55.36,83.88
2017-06,41.34,54.70,56.60,76.73
2017-07,48.79,53.58,60.53,0
2017-08,42.54,67.82,52.51,265.43
2017-09,44.15,53.14,55.48,83.69
2017-10,38.69,51.60,55.71,0
2017-11,35.30,45.66,52.25,85.84
2017-12,43.90,54.77,57.58,171.11
2018-01,45.34,57.23,58.87,130.35
2018-02,43.35,55.29,52.29,92.35
2018-03,38.08,51.95,69.91,54.53
2018-04,40.68,50.63,56.80,44.19
2018-05,41.66,51.35,58.17,73.95
2018-06,50.71,55.26,62.96,73.42
2018-07,42.79,57.98,58.92,0
2018-08,41.59,48.75,63.22,0
2018-09,45.03,51.95,66.17,0
2018-10,46.68,61.10,58.92,0
2018-11,46.76,61.92,65.09,82.37
2018-12,45.33,56.44,60.04,76.64
2019-01,40.14,56.01,59.42,0
2019-02,43.43,53.97,69.07,0
2019-03,47.11,55.34,62.89,240.23
2019-04,49.27,59.45,58.21,0
2019-05,48.72,58.91,58.05,20.08
2019-06,45.74,57.85,55.26,48.50
2019-07,46.06,56.30,55.32,81.94
2019-08,44.11,54.17,57.31,112.44
2019-09,45.25,60.36,58.02,128.41
2019-10,44.13,55.51,63.68,0
2019-11,46.33,54.04,60.84,44.96
2019-12,46.40,51.82,60.53,67.17
2020-01,41.18,53.16,59.85,0
2020-02,45.25,44.38,64.37,66.15
2020-03,43.29,56.19,61.36,69.21
2020-04,49.04,52.99,59.38,0
2020-05,48.24,55.90,66.34,0
2020-06,53.25,53.56,60.51,0
2020-07,45.24,57.94,39.12,0
2020-08,50.52,61.50,64.60,91.66
2020-09,51.71,61.04,65.57,119.98
2020-10,46.74,62.04,70.12,64.08
2020-11,50.93,59.08,70.03,62.44
2020-12,54.85,62.25,59.50,216.54
2021-01,51.86,60.71,64.97,79.91
2021-02,47.43,55.31,71.24,0
2021-03,56.14,60.77,66.51,44.68
2021-04,46.79,65.33,59.39,0
