DealDate,Apartment,Mansion,Building,House
10505,51.96,59.28,61.22,60.45
10506,48.04,67.77,68.60,102.73
10507,39.09,55.27,62.50,76.64
10508,42.24,60.82,62.71,81.32
10509,41.76,48.68,66.39,55.57
10510,45.83,57.64,70.01,94.01
10511,44.15,59.10,80.45,63.66
10512,44.32,56.53,82.01,108.47
10601,47.56,55.04,87.43,184.22
10602,46.10,57.29,74.71,134.69
10603,41.07,60.97,82.74,119.25
10604,40.85,61.83,77.11,81.65
10605,46.21,61.39,70.58,113.22
10606,41.88,55.22,71.08,142.11
10607,40.64,56.44,76.92,133.92
10608,44.13,65.09,69.16,132.70
10609,41.08,55.09,77.03,89.18
10610,42.02,53.17,65.49,79.38
10611,50.66,57.44,61.27,78.38
10612,46.89,55.17,55.40,45.59
10701,46.79,55.24,68.72,1228.33
10702,47.34,59.14,75.33,88.42
10703,48.44,63.40,59.23,101.88
10704,42.85,58.71,76.48,98.09
10705,44.49,53.83,66.30,68.97
10706,43.66,59.27,57.18,99.18
10707,54.50,60.57,58.43,94.98
10708,43.97,58.52,68.49,75.73
10709,44.52,62.90,53.91,134.49
10710,43.16,52.75,68.40,113.82
10711,57.41,57.39,71.94,97.77
10712,45.55,64.47,68.31,94.84
10801,44.37,56.29,71.97,186.80
10802,41.32,62.11,60.25,85.97
10803,43.17,58.30,61.12,144.52
10804,45.15,50.55,72.39,173.31
10805,46.25,54.75,68.38,167.76
10806,42.37,63.79,67.21,149.56
10807,45.25,60.71,59.22,113.90
10808,45.15,58.79,67.53,143.04
10809,42.33,56.72,71.81,78.81
10810,45.06,51.36,64.75,104.66
10811,46.30,56.11,68.11,166.19
10812,48.87,58.98,50.00,400.42
10900,0,47.20,0,0
10901,42.72,55.31,66.92,80.17
10902,39.55,55.71,78.13,77.63
10903,47.29,53.61,65.02,112.06
10904,43.75,63.98,79.79,103.86
10905,45.71,69.21,71.56,69.04
10906,51.83,61.58,76.19,107.00
10907,45.79,65.81,68.98,90.36
10908,45.83,62.80,73.21,164.56
10909,50.05,69.98,72.79,132.77
10910,46.20,63.54,72.64,93.79
10911,47.89,63.98,70.41,68.63
10912,48.06,61.20,69.78,153.99
11001,49.66,70.02,65.08,80.51
11002,45.78,64.27,68.70,140.37
11003,51.25,69.92,70.64,45.69
11004,44.11,47.55,66.56,91.95
