DealDate,Apartment,Mansion,Building,House
2016-05,50.70,57.93,54.04,131.18
2016-06,47.03,46.16,52.13,61.31
2016-07,41.72,47.52,64.91,86.39
2016-08,42.12,62.74,67.05,69.10
2016-09,42.04,46.12,62.89,100.42
2016-10,48.29,39.98,56.37,76.63
2016-11,40.91,73.46,56.92,72.96
2016-12,39.57,52.92,62.64,93.62
2017-01,40.28,52.46,49.56,59.39
2017-02,39.30,48.11,48.81,0
2017-03,41.15,55.73,66.17,53.70
2017-04,40.30,39.60,56.98,100.44
2017-05,40.43,47.14,53.66,87.60
2017-06,39.52,51.88,55.56,108.13
2017-07,45.64,47.97,58.53,114.01
2017-08,43.21,56.53,61.44,70.70
2017-09,43.15,52.11,60.04,74.05
2017-10,42.97,47.19,65.65,109.93
2017-11,47.83,48.85,66.59,182.48
2017-12,38.91,45.92,60.61,96.38
2018-01,39.73,49.91,61.33,73.96
2018-02,40.79,52.12,55.67,84.36
2018-03,42.04,42.31,65.98,59.74
2018-04,38.53,44.18,61.59,114.41
2018-05,42.03,54.78,62.76,89.21
2018-06,44.96,51.97,61.92,122.74
2018-07,46.40,41.92,59.38,105.26
2018-08,44.83,47.69,73.03,154.25
2018-09,40.72,43.56,62.23,93.58
2018-10,43.87,48.14,63.78,63.29
2018-11,44.29,45.24,61.43,141.84
2018-12,48.25,53.19,63.85,117.67
2019-01,41.45,52.37,68.60,77.69
2019-02,44.01,57.52,69.44,143.36
2019-03,47.24,52.62,58.37,87.70
2019-04,50.22,39.28,72.39,44.65
2019-05,45.71,55.14,64.01,85.74
2019-06,52.64,57.99,66.15,131.10
2019-07,53.61,50.56,66.87,70.66
2019-08,46.91,60.52,70.69,88.45
2019-09,41.06,47.41,61.07,125.41
2019-10,43.72,55.73,70.57,104.27
2019-11,45.59,54.20,66.52,131.36
2019-12,48.79,42.54,65.84,110.12
2020-01,40.89,56.01,61.09,88.77
2020-02,44.21,61.60,65.08,104.30
2020-03,37.18,59.05,66.80,99.25
2020-04,44.72,51.65,65.68,121.01
2020-05,51.07,37.35,66.16,78.77
2020-06,48.86,58.98,66.33,116.84
2020-07,42.92,58.22,67.21,103.71
2020-08,47.42,58.84,67.74,61.00
2020-09,43.26,55.08,62.71,108.18
2020-10,45.75,54.97,66.69,132.81
2020-11,55.99,51.62,63.37,60.42
2020-12,43.23,53.68,63.13,87.16
2021-01,39.78,58.53,56.52,207.44
2021-02,55.60,42.64,74.39,45.50
2021-03,46.30,55.29,68.70,51.17
2021-04,49.58,61.43,68.63,36.59
