DealDate,Apartment,Mansion,Building,House
2016-05,70.31,84.36,95.33,60.25
2016-06,73.81,83.13,90.24,0
2016-07,69.01,82.87,89.64,147.12
2016-08,63.43,79.55,90.85,0
2016-09,71.84,70.03,87.55,184.36
2016-10,67.53,72.96,88.70,44.15
2016-11,65.01,76.26,93.35,0
2016-12,68.05,90.34,81.40,72.57
2017-01,65.27,80.76,92.64,0
2017-02,78.65,74.91,89.41,78.05
2017-03,67.40,79.11,86.91,130.34
2017-04,61.96,76.15,83.66,117.04
2017-05,69.40,81.66,90.52,75.02
2017-06,60.94,75.29,78.78,61.59
2017-07,62.42,79.15,86.59,97.06
2017-08,72.31,76.75,99.07,122.07
2017-09,63.62,84.88,86.40,217.37
2017-10,66.86,71.95,82.45,0
2017-11,74.67,87.59,89.40,101.97
2017-12,59.61,75.65,82.78,0
2018-01,62.61,83.74,92.94,0
2018-02,63.93,62.86,94.36,0
2018-03,69.34,83.37,92.78,209.18
2018-04,69.64,93.40,93.57,0
2018-05,73.20,82.95,96.12,166.11
2018-06,71.91,82.05,88.81,72.29
2018-07,68.20,76.93,90.10,129.79
2018-08,69.12,78.57,86.87,160.64
2018-09,67.68,78.74,89.97,65.28
2018-10,69.15,80.15,93.10,0
2018-11,71.52,80.04,107.18,0
2018-12,68.13,76.25,90.38,58.69
2019-01,65.08,77.65,90.23,267.49
2019-02,68.25,81.63,88.86,0
2019-03,69.79,85.67,87.43,195.71
2019-04,70.81,78.69,87.48,0
2019-05,65.37,76.09,90.79,77.00
2019-06,69.22,77.93,96.29,67.62
2019-07,67.34,82.27,91.07,295.59
2019-08,72.20,85.47,82.66,295.84
2019-09,67.85,83.54,93.48,40.47
2019-10,68.15,86.22,91.87,0
2019-11,70.71,80.87,101.08,282.37
2019-12,66.28,78.96,96.80,162.59
2020-01,64.85,83.33,93.30,0
2020-02,66.15,85.94,92.92,0
2020-03,65.94,83.75,80.71,0
2020-04,76.29,78.32,93.56,0
2020-05,65.77,82.06,86.94,95.08
2020-06,69.22,86.25,91.99,0
2020-07,74.66,87.53,93.11,0
2020-08,77.21,86.00,94.24,0
2020-09,71.58,83.93,97.18,0
2020-10,72.27,86.35,99.13,83.47
2020-11,74.69,86.69,90.99,166.35
2020-12,78.84,82.05,89.78,0
2021-01,73.32,89.96,93.13,0
2021-02,73.80,92.44,91.71,0
2021-03,71.41,88.62,88.56,0
2021-04,86.48,86.40,101.03,0
