DealDate,Apartment,Mansion,Building,House
10505,38.96,46.01,49.59,54.21
10506,41.36,48.13,47.15,43.78
10507,44.91,41.22,44.72,46.35
10508,40.70,45.70,45.38,49.97
10509,41.42,42.84,46.93,59.52
10510,37.30,40.38,46.23,0
10511,35.69,43.55,60.25,51.35
10512,38.20,43.19,59.98,101.05
10601,40.52,44.35,48.53,37.07
10602,40.48,48.59,53.09,37.81
10603,36.76,46.26,52.79,57.65
10604,40.20,45.77,56.70,46.71
10605,41.62,42.47,53.88,59.48
10606,37.88,44.79,56.08,37.01
10607,39.37,49.73,54.44,43.21
10608,41.38,45.27,51.68,60.53
10609,37.13,45.61,52.16,48.54
10610,39.77,46.51,52.47,44.02
10611,38.60,49.38,50.90,55.64
10612,39.20,45.77,50.61,83.24
10701,39.45,44.90,51.69,38.28
10702,40.77,45.61,52.18,53.60
10703,38.51,54.70,53.69,62.82
10704,39.52,53.21,46.52,63.90
10705,39.29,51.67,49.09,91.76
10706,39.81,43.19,56.17,51.36
10707,38.34,48.16,52.41,47.54
10708,40.72,48.68,54.84,40.87
10709,36.54,53.26,50.31,0
10710,38.58,49.77,49.63,99.77
10711,41.26,48.35,51.10,39.97
10712,38.58,52.58,49.25,53.51
10801,41.86,46.41,49.18,80.52
10802,37.82,49.93,48.00,28.04
10803,39.47,47.21,51.55,47.46
10804,40.58,48.81,48.27,270.00
10805,41.06,47.99,49.18,46.58
10806,40.20,45.85,50.89,69.16
10807,38.91,45.98,50.43,41.20
10808,40.46,44.64,47.84,70.00
10809,41.41,53.12,50.32,46.08
10810,41.31,47.57,49.04,41.16
10811,38.98,48.09,51.30,48.68
10812,39.98,46.36,48.02,62.13
10901,41.79,52.70,52.63,40.98
10902,39.43,50.84,48.93,43.42
10903,37.96,46.17,57.91,39.84
10904,39.59,46.52,52.94,67.34
10905,43.02,48.12,53.28,51.98
10906,41.35,48.44,51.81,40.08
10907,38.75,53.88,52.01,58.74
10908,40.03,53.88,51.56,44.79
10909,44.51,51.14,54.60,82.50
10910,45.92,49.34,53.09,53.67
10911,45.19,49.21,53.84,50.57
10912,45.22,48.02,55.72,86.30
11001,41.71,51.51,55.13,45.37
11002,47.26,54.98,49.52,45.96
11003,44.06,50.31,53.57,40.74
11004,43.10,48.46,54.65,46.47
