DealDate,Apartment,Mansion,Building,House
10505,68.65,62.98,70.05,136.89
10506,64.99,66.07,74.20,166.37
10507,64.69,63.20,68.62,76.17
10508,65.62,69.64,78.54,86.21
10509,61.03,60.50,68.64,0
10510,59.18,63.83,68.11,273.86
10511,59.68,67.16,85.15,506.27
10512,60.56,64.46,100.51,0
10601,62.77,58.25,78.41,0
10602,51.95,64.15,65.46,90.65
10603,70.97,69.17,79.71,0
10604,60.20,59.97,82.11,0
10605,63.42,73.72,73.97,71.94
10606,70.36,64.56,77.43,151.82
10607,59.05,76.25,80.46,0
10608,75.38,67.01,70.86,0
10609,54.59,61.05,64.78,103.82
10610,68.85,56.55,80.03,134.48
10611,54.84,56.18,68.72,0
10612,54.30,57.78,81.74,155.38
10701,69.02,64.04,68.69,0
10702,55.51,61.49,87.35,74.38
10703,55.22,77.76,67.80,420.32
10704,58.78,63.31,76.11,84.12
10705,62.77,64.88,71.62,99.62
10706,65.19,72.66,70.91,0
10707,61.87,63.57,66.99,0
10708,67.44,65.84,75.38,0
10709,62.24,56.71,72.48,0
10710,62.73,61.43,76.31,0
10711,61.11,72.94,70.82,0
10712,60.25,67.58,66.93,73.00
10801,59.95,66.14,66.42,135.65
10802,63.63,68.14,74.64,0
10803,71.01,69.80,70.45,66.02
10804,66.42,72.56,74.05,82.74
10805,60.31,67.07,72.32,0
10806,63.11,68.37,72.49,75.73
10807,63.25,66.61,76.39,119.01
10808,69.25,62.51,77.71,77.46
10809,61.05,70.28,76.01,583.27
10810,59.20,68.53,69.44,88.22
10811,65.69,65.53,70.57,276.00
10812,67.19,61.84,68.96,109.25
10901,68.99,69.27,75.00,417.07
10902,68.53,62.91,78.32,0
10903,60.92,62.96,69.55,0
10904,63.53,62.10,75.40,165.04
10905,65.58,76.03,66.01,0
10906,66.91,72.93,84.95,215.46
10907,66.44,71.30,72.27,0
10908,67.51,67.62,74.24,221.98
10909,68.34,72.44,80.93,154.88
10910,67.37,69.71,78.85,97.04
10911,67.76,75.02,76.73,222.32
10912,60.70,76.30,78.75,145.80
11001,68.29,77.52,75.73,89.30
11002,59.62,70.78,78.67,139.01
11003,65.24,75.37,80.32,0
11004,73.62,65.86,70.94,0
