DealDate,Apartment,Mansion,Building,House
10505,35.65,35.24,68.97,107.36
10506,38.48,39.62,60.81,102.00
10507,32.24,46.69,63.05,108.35
10508,38.70,42.08,58.88,184.28
10509,36.88,44.40,55.24,43.10
10510,35.44,26.68,52.36,54.69
10511,37.46,43.90,54.26,226.67
10512,35.50,34.14,53.73,61.02
10601,36.81,53.39,50.63,80.12
10602,34.18,22.92,51.81,104.32
10603,34.72,40.41,53.01,129.57
10604,36.39,39.47,52.52,78.08
10605,35.16,38.90,45.98,102.63
10606,34.39,41.03,49.38,155.03
10607,35.96,39.90,48.98,62.33
10608,35.00,39.09,48.76,114.35
10609,37.69,56.69,49.39,106.01
10610,37.55,41.72,58.06,59.10
10611,36.48,48.71,50.48,103.48
10612,36.62,44.49,50.55,60.40
10701,37.52,44.43,50.65,116.56
10702,36.74,50.90,54.31,59.58
10703,37.62,46.79,55.42,75.54
10704,33.68,40.20,55.80,43.08
10705,37.71,38.93,58.62,83.17
10706,36.02,37.97,53.63,90.28
10707,35.60,27.56,52.87,84.61
10708,34.82,40.04,54.41,52.30
10709,34.94,46.70,50.00,50.70
10710,32.05,38.97,49.20,45.34
10711,35.64,38.57,64.14,146.07
10712,35.24,41.77,57.43,105.41
10801,38.82,39.09,53.28,108.23
10802,38.07,31.09,51.83,116.58
10803,36.72,40.96,49.97,88.49
10804,39.86,43.65,50.57,138.02
10805,35.76,40.24,54.80,58.60
10806,39.72,47.87,54.05,62.85
10807,36.08,48.92,53.23,124.68
10808,36.66,39.73,55.62,97.89
10809,36.77,38.56,53.15,106.51
10810,38.99,39.23,52.01,66.42
10811,40.27,43.30,55.79,73.63
10812,34.97,45.44,52.52,93.32
10901,32.69,36.16,56.60,193.17
10902,35.96,45.46,53.61,58.88
10903,38.59,43.53,50.95,63.94
10904,37.98,45.55,56.52,74.41
10905,38.84,51.70,51.91,79.75
10906,37.96,47.65,56.17,100.48
10907,41.61,53.19,56.19,69.79
10908,40.79,51.49,53.56,109.02
10909,42.94,47.70,55.56,109.55
10910,41.10,50.55,55.77,166.83
10911,37.82,44.11,55.42,281.79
10912,39.02,44.69,56.84,117.05
11001,40.47,46.74,54.48,54.63
11002,41.69,46.68,54.52,325.46
11003,40.11,53.17,55.90,78.22
11004,40.68,28.03,56.60,0
